id,Channel_Name,Channel_Id,Comment_Id,Comment_Text,Comment_Author,Comment_PublishedAt,Video_Id
11,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,Comment_Id_1,"Links:<br>Oil 1(indus valley): <a href=""https://amzn.eu/d/bqOC0vG"">https://amzn.eu/d/bqOC0vG</a><br>Oil 2(pure and sure): <a href=""https://amzn.eu/d/idVdlX4"">https://amzn.eu/d/idVdlX4</a><br>Oil 3(wish care): <a href=""https://amzn.eu/d/3Oy4gJn"">https://amzn.eu/d/3Oy4gJn</a>",Aye Jude,2022-07-02 10:45:47,s8h9UVeytT0
12,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,Comment_Id_2,Nenu kuda subcr this channel 😢,guru bhupal,2023-06-22 16:35:10,s8h9UVeytT0
13,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,Comment_Id_3,Emi chesina results raavu bro,guru bhupal,2023-06-22 16:34:30,s8h9UVeytT0
14,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,Comment_Id_4,Anna nuv vadthaleva mari,vin vin...,2023-06-21 05:51:02,s8h9UVeytT0
15,Aye Jude,UCq9kaXFyF2b6oXQ5veWdvog,Comment_Id_5,"Castor oil ante avu nuni na?? <br><br>That’s Ava nune bro.. <br><br>Aavaalu idea undha..?? <br>Curries lo vestaru ga,, avanamata..,<br>Research before you post.. <br>Asale trollers kaaliga kaaskoni untaru..",vamsi yalamarthy,2023-06-20 20:20:38,s8h9UVeytT0
16,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Comment_Id_1,Battary will gain my 10% baxk if it goes hot by a ride of lost energy...may...🥲,DefRekka,2023-06-20 16:29:26,cWdJZgMJ3J0
17,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Comment_Id_2,Hey I parked my truck at the airport for 2 weeks came back and it still had 320 miles worth of gas. omg 😂 I think I would sale the toy and buy a real truck with a real combustion engine,Kevin Mckinney,2023-06-20 01:42:28,cWdJZgMJ3J0
18,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Comment_Id_3,Another perfect example of why i will never own a dumbass electric car or truck,AR_119,2023-06-19 15:35:01,cWdJZgMJ3J0
19,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Comment_Id_4,"Hmmm transparency back glass, Dbrand skins… what’s missing? Oooh I know a full transparency vinyl wrap for the Rivian or maybe a few components inside 😊",Jason Matthews,2023-06-19 15:13:10,cWdJZgMJ3J0
20,JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,Comment_Id_5,did you just leave your car at the airport alone for 10 days? are you insane,marsfisch,2023-06-19 14:21:41,cWdJZgMJ3J0
